TEAM_ID,ABBREVIATION,NICKNAME,CITY,ARENA,ARENACAPACITY,OWNER,HEADCOACH
1610612737,ATL,Hawks,Atlanta,State Farm Arena,18729,Tony Ressler,Lloyd Pierce
1610612738,BOS,Celtics,Boston,TD Garden,18624,Wyc Grousbeck,Brad Stevens
1610612740,NOP,Pelicans,New Orleans,Smoothie King Center,19192,Tom Benson,Alvin Gentry
1610612741,CHI,Bulls,Chicago,United Center,21711,Jerry Reinsdorf,Jim Boylen
1610612742,DAL,Mavericks,Dallas,American Airlines Center,19200,Mark Cuban,Rick Carlisle
1610612743,DEN,Nuggets,Denver,Pepsi Center,19099,Stan Kroenke,Michael Malone
1610612745,HOU,Rockets,Houston,Toyota Center,18104,Tilman Fertitta,Mike D'Antoni
1610612746,LAC,Clippers,Los Angeles,Staples Center,19060,Steve Ballmer,Doc Rivers
1610612747,LAL,Lakers,Los Angeles,Staples Center,19060,Jerry Buss Family Trust,Frank Vogel
1610612748,MIA,Heat,Miami,AmericanAirlines Arena,19600,Micky Arison,Erik Spoelstra
1610612749,MIL,Bucks,Milwaukee,Fiserv Forum,17500,Wesley Edens &Â Marc Lasry,Mike Budenholzer
1610612750,MIN,Timberwolves,Minnesota,Target Center,19356,Glen Taylor,Ryan Saunders
1610612751,BKN,Nets,Brooklyn,Barclays Center,16798,Joe Tsai,Kenny Atkinson
1610612752,NYK,Knicks,New York,Madison Square Garden,19763,Cablevision (James Dolan),David Fizdale
1610612753,ORL,Magic,Orlando,Amway Center,17032,Rick DeVos,Steve Clifford
1610612754,IND,Pacers,Indiana,Bankers Life Fieldhouse,18345,Herb Simon,Nate McMillan
1610612755,PHI,76ers,Philadelphia,Wells Fargo Center,19867,Joshua Harris,Brett Brown
1610612756,PHX,Suns,Phoenix,Talking Stick Resort Arena,24301,Robert Sarver,Monty Williams
1610612757,POR,Trail Blazers,Portland,Moda Center,19980,Paul Allen,Terry Stotts
1610612758,SAC,Kings,Sacramento,Golden 1 Center,17500,Vivek Ranadive,Luke Walton
1610612759,SAS,Spurs,San Antonio,AT&T Center,18694,Peter Holt,Gregg Popovich
1610612760,OKC,Thunder,Oklahoma City,Chesapeake Energy Arena,19163,Clay Bennett,Billy Donovan
1610612761,TOR,Raptors,Toronto,Scotiabank Arena,19800,Maple Leaf Sports and Entertainment,Nick Nurse
1610612762,UTA,Jazz,Utah,Vivint Smart Home Arena,20148,Greg Miller,Quin Snyder
1610612763,MEM,Grizzlies,Memphis,FedExForum,18119,Robert Pera,Taylor Jenkins
1610612764,WAS,Wizards,Washington,Capital One Arena,20647,Ted Leonsis,Scott Brooks
1610612765,DET,Pistons,Detroit,Little Caesars Arena,21000,Tom Gores,Dwane Casey
1610612766,CHA,Hornets,Charlotte,Spectrum Center,19026,Michael Jordan,James Borrego
1610612739,CLE,Cavaliers,Cleveland,Quicken Loans Arena,20562,Dan Gilbert,John Beilein
1610612744,GSW,Warriors,Golden State,Chase Center,19596,Joe Lacob,Steve Kerr
